,rdata,count,org
0,104.18.3.31,1,"AS13335 Cloudflare, Inc."
1,104.26.11.73,1,"AS13335 Cloudflare, Inc."
2,145.131.90.136,1,AS28685 Routit BV
3,172.65.90.5,1,"AS13335 Cloudflare, Inc."
4,185.196.102.116,4,AS49282 Ficolo Oy
5,185.196.102.117,3,AS49282 Ficolo Oy
6,185.199.111.153,1,"AS54113 Fastly, Inc."
7,185.205.69.12,5,AS210909 Tutao GmbH
8,185.226.149.25,1,AS50304 Blix Solutions AS
9,185.67.36.168,2,AS8495 INTERNET AG Global Network
10,185.67.36.169,48,AS8495 INTERNET AG Global Network
11,185.70.42.12,1,AS62371 Proton AG
12,185.70.42.16,1,AS62371 Proton AG
13,185.70.42.21,1,AS62371 Proton AG
14,185.70.42.45,1,AS62371 Proton AG
15,185.97.174.194,1,AS199118 Heinlein-Support GmbH
16,188.114.96.0,1,"AS13335 Cloudflare, Inc."
17,188.114.97.0,1,"AS13335 Cloudflare, Inc."
18,192.241.214.14,1,"AS14061 DigitalOcean, LLC"
19,198.252.153.70,1,AS16652 Riseup Networks
20,217.182.28.160,2,AS16276 OVH SAS
21,64.91.248.175,1,"AS32244 Liquid Web, L.L.C"
22,67.227.207.153,1,"AS32244 Liquid Web, L.L.C"
23,72.51.60.139,1,AS13768 Aptum Technologies
24,74.81.90.117,3,AS11042 NETWORK TRANSIT HOLDINGS LLC
25,95.175.98.160,2,AS49282 Ficolo Oy
26,95.175.98.178,2,AS49282 Ficolo Oy
